cited_subcategory_id,11,12,13,14,15,19,21,22,23,24,25,31,32,33,39,41,42,43,44,45,46,49,51,52,53,54,55,59,61,62,63,64,65,66,67,68,69,70
11,18396,524,13,2863,356,2070,19,133,80,9,6,2931,57,24,32,13,2,85,28,83,21,22,323,32,21,14,9,80,301,3,951,40,57,11,5,45,619,0
12,386,42413,268,891,5944,11815,446,706,3286,438,36,1465,479,0,707,485,1407,567,589,1048,7791,1596,2718,1889,469,580,116,1356,267,66,222,333,500,470,198,257,9367,0
13,11,227,19711,102,173,4193,46,90,33,100,8,83,270,0,7,55,38,349,105,1029,78,78,606,169,702,54,146,340,73,4,38,111,38,481,45,97,1955,0
14,3087,1815,130,55209,7286,11641,150,126,399,69,17,26539,161,305,38,49,113,86,55,250,357,54,246,73,35,72,41,60,570,5,15,66,11,22,8,21,1528,4
15,614,6416,189,5498,103809,16600,546,135,1357,111,21,11521,1037,75,664,543,265,203,107,864,1252,343,3690,475,260,293,555,377,369,762,166,466,126,46,276,187,13715,0
19,1780,12717,5620,9746,14437,369305,2910,3870,6830,2191,359,12304,4625,18,752,2626,3571,7449,4038,8839,23296,8333,14210,7696,4370,4500,2144,5070,2272,253,1396,1642,633,2475,1021,3228,26939,0
21,26,384,72,61,316,2066,677404,97002,20923,10648,12010,202,2835,19,129,14271,4557,9371,3623,8517,4986,26469,1916,1371,700,12955,2032,8641,310,1454,323,658,885,108,129,266,5360,0
22,135,511,71,48,91,2381,93517,455665,33011,44803,38261,478,3242,24,647,4729,1045,14036,5071,10457,6884,29851,3166,1482,9635,6303,6434,6945,402,2997,554,604,322,213,60,359,5171,22
23,71,2986,53,148,877,5355,21830,33796,289943,10727,3934,60,705,1,263,2628,10429,2648,1564,4291,19225,13395,1578,1735,235,8393,129,6226,60,4450,62,13,93,41,26,251,4857,4
24,4,370,46,50,53,1996,10575,52757,10248,337371,14225,103,149,0,34,6394,517,2245,1249,3774,17404,8390,1872,1954,110,2495,64,2136,27,351,23,8,101,10,57,163,4174,2
25,3,27,89,8,15,174,13223,36132,3545,11398,56892,49,370,1,56,252,87,362,144,530,1941,3896,128,117,50,333,89,3297,27,962,42,30,73,5,3,86,730,0
31,2939,1393,118,26052,9625,12550,262,995,176,203,99,197726,3631,1141,1269,127,89,1145,540,176,514,253,840,171,106,118,54,209,2414,16,51,154,201,77,15,179,1473,0
32,31,749,224,116,746,5227,2730,6844,756,192,717,3905,221472,5,11092,853,661,6111,2532,1091,266,2084,1734,999,1097,490,133,2120,411,262,1134,56,1178,78,528,1316,2976,0
33,90,0,0,546,124,27,5,9,5,1,0,1131,13,4873,3,1,0,3,3,4,5,3,1,1,1,2,0,1,72,0,0,0,1,0,1,0,7,0
39,21,806,6,64,566,621,174,1326,312,36,152,1272,7580,1,48581,75,177,402,93,122,28,519,687,738,208,561,14,333,5,36,380,7,94,16,70,94,675,0
41,17,431,43,42,202,1919,18649,6511,3909,6643,253,92,814,1,66,209660,2365,5747,778,17819,15322,5960,907,3921,1227,667,894,2533,225,238,339,172,529,372,762,340,3707,0
42,3,1440,45,94,98,2860,5175,1584,12727,596,185,39,529,1,91,2799,124045,1515,2859,3066,16910,2702,543,370,395,6173,523,445,85,193,119,18,152,160,50,180,3278,0
43,106,451,248,41,82,5374,8549,17287,2561,1891,601,453,5058,1,406,4008,1083,131448,8602,5858,5553,3311,1816,1816,3373,4903,1118,2047,327,300,192,840,147,216,244,197,4395,0
44,30,422,51,31,56,3298,4091,8541,2778,2098,357,354,2550,2,112,688,2583,9326,86500,1132,5267,4970,940,529,142,6526,242,957,93,89,116,92,167,173,64,130,1359,0
45,74,1022,1100,155,517,8142,8983,12671,4600,4120,773,165,1187,0,153,19027,3658,7029,1069,281560,16771,9481,2254,6587,11503,2406,6516,5780,141,310,493,359,1883,3619,503,374,7641,0
46,9,5306,34,273,540,15133,5184,8657,15854,23042,1800,314,346,1,38,14556,11438,5371,4213,11388,557061,5257,2176,5416,115,1901,50,1409,27,29,47,11,41,321,33,72,4522,1
49,32,1356,93,39,152,5416,30353,28403,15085,7592,3780,128,2051,11,217,5148,2162,2937,3302,7176,4825,270308,4562,3617,802,5462,1013,2994,1075,544,253,99,661,818,207,289,4896,0
