cited_subcategory_id,11.0,12.0,13.0,14.0,15.0,19.0,21.0,22.0,23.0,24.0,25.0,31.0,32.0,33.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,49.0,51.0,52.0,53.0,54.0,55.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0
11.0,3505.0,68.0,3.0,617.0,103.0,399.0,1.0,2.0,,1.0,,285.0,10.0,,5.0,1.0,,6.0,3.0,1.0,,2.0,49.0,4.0,3.0,1.0,1.0,11.0,66.0,,96.0,5.0,6.0,2.0,1.0,,97.0,
12.0,111.0,3902.0,25.0,106.0,966.0,1257.0,33.0,19.0,30.0,22.0,,141.0,26.0,,32.0,37.0,33.0,18.0,21.0,83.0,143.0,132.0,338.0,229.0,9.0,23.0,10.0,100.0,41.0,1.0,51.0,41.0,9.0,63.0,29.0,31.0,1343.0,
13.0,5.0,43.0,2750.0,8.0,17.0,875.0,1.0,10.0,,2.0,,18.0,54.0,,4.0,1.0,,28.0,22.0,106.0,,4.0,57.0,26.0,100.0,,15.0,55.0,18.0,1.0,4.0,26.0,4.0,144.0,8.0,5.0,115.0,
14.0,786.0,160.0,20.0,14682.0,1543.0,2483.0,5.0,2.0,19.0,4.0,,5036.0,13.0,,7.0,6.0,6.0,3.0,,16.0,3.0,7.0,46.0,9.0,6.0,4.0,8.0,11.0,139.0,,2.0,61.0,7.0,5.0,1.0,3.0,169.0,
15.0,133.0,1060.0,18.0,1031.0,23158.0,2726.0,16.0,5.0,17.0,4.0,,807.0,163.0,,99.0,80.0,6.0,8.0,7.0,56.0,12.0,20.0,832.0,44.0,39.0,4.0,70.0,36.0,112.0,9.0,26.0,92.0,10.0,17.0,31.0,68.0,2127.0,
19.0,532.0,1376.0,979.0,1883.0,2342.0,62374.0,150.0,201.0,301.0,61.0,14.0,1242.0,363.0,,39.0,347.0,144.0,530.0,237.0,642.0,569.0,591.0,1830.0,929.0,585.0,148.0,175.0,540.0,292.0,38.0,137.0,363.0,149.0,805.0,173.0,385.0,2872.0,
21.0,1.0,22.0,3.0,3.0,13.0,128.0,19142.0,1532.0,509.0,187.0,117.0,3.0,155.0,,11.0,669.0,113.0,748.0,229.0,410.0,83.0,1097.0,190.0,63.0,55.0,261.0,119.0,177.0,33.0,66.0,45.0,57.0,23.0,42.0,4.0,13.0,496.0,
22.0,3.0,13.0,8.0,4.0,6.0,148.0,1446.0,13087.0,921.0,553.0,332.0,6.0,109.0,,18.0,220.0,92.0,570.0,214.0,394.0,42.0,673.0,125.0,45.0,436.0,280.0,61.0,251.0,13.0,46.0,21.0,13.0,6.0,62.0,11.0,15.0,459.0,1.0
23.0,2.0,26.0,3.0,21.0,9.0,258.0,452.0,882.0,5186.0,279.0,85.0,5.0,12.0,,6.0,51.0,142.0,61.0,28.0,33.0,30.0,274.0,48.0,29.0,17.0,106.0,,129.0,1.0,65.0,8.0,1.0,2.0,6.0,,,239.0,3.0
