cited_subcategory_id,11.0,12.0,13.0,14.0,15.0,19.0,21.0,22.0,23.0,24.0,25.0,31.0,32.0,33.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,49.0,51.0,52.0,53.0,54.0,55.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0
11.0,19844.0,833.0,40.0,3408.0,946.0,3370.0,18,125.0,43,8,5.0,3099.0,170.0,84.0,82.0,14.0,7.0,99.0,31,50,11,21.0,416.0,53.0,24.0,19.0,11.0,117.0,753,2.0,768.0,85.0,46.0,13.0,9.0,77.0,1246.0,4.0
12.0,603.0,45860.0,369.0,1080.0,8253.0,14654.0,404,366.0,877,249,15.0,2562.0,1043.0,1.0,633.0,800.0,765.0,504.0,436,931,3681,1585.0,3919.0,2278.0,238.0,375.0,139.0,1705.0,725,95.0,333.0,1040.0,487.0,464.0,167.0,346.0,12941.0,2.0
13.0,42.0,340.0,24789.0,138.0,213.0,6750.0,43,94.0,16,71,2.0,122.0,584.0,,20.0,37.0,24.0,405.0,124,784,12,102.0,677.0,176.0,645.0,4.0,100.0,549.0,165,35.0,46.0,181.0,37.0,798.0,53.0,114.0,1971.0,
14.0,3377.0,1544.0,164.0,73862.0,10946.0,16965.0,119,83.0,177,45,14.0,31809.0,309.0,177.0,66.0,53.0,47.0,66.0,49,124,133,52.0,402.0,113.0,57.0,61.0,49.0,86.0,1117,13.0,24.0,322.0,30.0,32.0,24.0,39.0,1641.0,
15.0,933.0,9919.0,409.0,9120.0,159889.0,24069.0,628,87.0,316,101,19.0,15589.0,2792.0,48.0,1247.0,547.0,114.0,202.0,128,441,431,284.0,6362.0,524.0,223.0,269.0,475.0,440.0,644,250.0,221.0,1390.0,160.0,91.0,242.0,442.0,22753.0,2.0
19.0,3539.0,16972.0,7573.0,13959.0,20696.0,525937.0,2734,3338.0,3382,1471,195.0,18174.0,7148.0,8.0,811.0,3212.0,2233.0,7214.0,3558,6751,10477,7027.0,20215.0,9531.0,4260.0,2430.0,2526.0,6587.0,4347,451.0,1429.0,4042.0,1197.0,4776.0,1495.0,5875.0,36552.0,1.0
21.0,30.0,424.0,50.0,56.0,493.0,2649.0,384424,51711.0,14167,5488,6381.0,252.0,3611.0,,149.0,8932.0,3064.0,8902.0,3863,5174,2352,16045.0,2373.0,985.0,661.0,7733.0,1562.0,3825.0,446,799.0,407.0,723.0,923.0,204.0,141.0,382.0,5555.0,50.0
22.0,108.0,240.0,52.0,46.0,67.0,2298.0,33146,272699.0,22114,22108,16372.0,348.0,2358.0,,347.0,2903.0,506.0,10490.0,3803,7422,3409,10210.0,3013.0,987.0,7089.0,3606.0,3040.0,4261.0,397,658.0,359.0,500.0,154.0,467.0,50.0,299.0,4203.0,125.0
23.0,42.0,994.0,12.0,125.0,375.0,3452.0,9732,22188.0,110904,7481,3391.0,56.0,452.0,,121.0,655.0,1952.0,755.0,965,1304,2124,5778.0,568.0,753.0,91.0,4395.0,64.0,3172.0,15,591.0,39.0,7.0,38.0,18.0,11.0,118.0,2515.0,103.0
24.0,6.0,378.0,53.0,24.0,56.0,1511.0,3803,23087.0,9214,169655,6710.0,44.0,164.0,,13.0,3259.0,228.0,1243.0,1186,2804,8751,5289.0,1886.0,1270.0,56.0,1585.0,51.0,1373.0,21,160.0,29.0,8.0,161.0,10.0,49.0,227.0,2627.0,19.0
25.0,1.0,4.0,,4.0,9.0,95.0,4802,15932.0,3043,6382,28573.0,38.0,208.0,,9.0,103.0,9.0,199.0,78,239,1212,1649.0,129.0,49.0,17.0,248.0,46.0,1831.0,7,377.0,5.0,4.0,51.0,3.0,4.0,125.0,839.0,9.0
